Team,Age,Wins,Losses,Year,Playoff,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,3PAr,eFG%,FT,FTA,FT%,TS%,AST,ORB,TRB,PTS,MOV,ORtg,DRtg,Pace,TOV%,ORB%,Finals_Rk
Atlanta Hawks,26.8,50,32,1988,True,42.0,86.6,48.5,41.0,83.2,49.2,1.0,3.4,30.099999999999998,4.0,49.1,22.8,29.8,76.7,54.1,25.1,15.0,44.0,107.9,3.6,111.3,107.6,96.4,13.0,34.3,Knocked Out
Chicago Bulls,25.5,50,32,1988,True,41.9,85.5,49.0,41.2,82.6,49.9,0.7,3.0,23.0,3.5000000000000004,49.4,20.5,27.1,75.9,53.900000000000006,26.2,14.3,44.3,105.0,3.4,109.0,105.5,95.5,13.6,34.0,Knocked Out
Oklahoma City Thunder,25.6,44,38,1988,True,43.2,90.8,47.599999999999994,40.5,83.0,48.8,2.7,7.8,34.599999999999994,8.6,49.1,22.3,29.8,74.8,53.6,26.2,16.0,44.2,111.4,2.06,110.2,108.1,100.2,13.9,36.3,Knocked Out
Houston Rockets,27.7,46,36,1988,True,42.3,89.7,47.099999999999994,41.4,86.1,48.1,0.8,3.5,23.7,4.0,47.599999999999994,23.6,30.3,78.0,52.900000000000006,23.6,15.1,46.0,109.0,1.39,107.1,105.7,101.8,13.9,33.1,Knocked Out
Cleveland Cavaliers,24.6,42,40,1988,True,40.4,82.4,49.0,38.9,78.3,49.6,1.5,4.1,37.8,5.0,50.0,22.1,29.7,74.4,54.7,25.2,12.4,40.3,104.5,0.76,106.8,106.0,97.3,15.5,31.0,Knocked Out
Milwaukee Bucks,28.6,42,40,1988,True,41.0,86.3,47.5,39.4,81.3,48.5,1.6,5.0,32.4,5.800000000000001,48.5,22.3,28.8,77.5,53.6,26.8,13.6,42.1,106.1,0.54,108.2,107.6,97.6,13.6,31.8,Knocked Out
New York Knicks,25.3,38,44,1988,True,41.0,88.2,46.5,38.8,81.3,47.8,2.2,6.9,31.6,7.8,47.699999999999996,21.3,28.1,75.9,52.5,24.5,15.7,42.4,105.5,-0.49,105.9,106.4,99.1,15.5,36.0,Knocked Out
Washington Wizards,26.6,38,44,1988,True,40.9,87.4,46.800000000000004,40.6,85.7,47.3,0.4,1.7,21.0,1.9,47.0,23.3,30.2,77.3,52.400000000000006,22.9,15.0,43.0,105.5,-0.77,106.5,107.2,98.1,14.4,34.2,Knocked Out
Indiana Pacers,25.7,38,44,1988,False,41.9,87.2,48.0,39.9,81.3,49.1,2.0,5.9,33.6,6.800000000000001,49.2,18.9,24.2,78.0,53.5,24.1,13.1,43.1,104.6,-0.79,106.6,107.4,98.0,14.1,30.1,Never Qualified
Philadelphia 76ers,27.2,36,46,1988,False,39.2,82.7,47.4,37.3,77.0,48.5,1.9,5.7,32.300000000000004,6.9,48.5,25.5,33.3,76.4,54.300000000000004,23.1,14.9,43.0,105.7,-1.44,108.8,110.3,96.0,15.2,35.4,Never Qualified
Phoenix Suns,27.5,28,54,1988,False,43.3,89.0,48.6,41.9,84.7,49.4,1.4,4.4,33.1,4.9,49.4,20.5,26.8,76.4,53.800000000000004,28.4,13.6,42.6,108.5,-4.48,107.0,111.4,101.2,14.6,31.5,Never Qualified
